people_id,activity_id,date,activity_category,char_1,char_2,char_3,char_4,char_5,char_6,char_7,char_8,char_9,char_10,outcome
ppl_29839,act2_438252,2023-04-08,type 2,,,,,,,,,,type 1,1
ppl_389698,act2_146347,2022-10-15,type 5,,,,,,,,,,type 1781,0
ppl_294918,act2_4324101,2022-10-19,type 3,,,,,,,,,,type 23,0
ppl_26032,act2_4636528,2022-10-07,type 2,,,,,,,,,,type 1,1
ppl_71786,act2_1400817,2023-02-25,type 4,,,,,,,,,,type 2702,1
ppl_232876,act2_3501878,2023-01-04,type 2,,,,,,,,,,type 1,1
ppl_287231,act2_1673264,2023-06-22,type 3,,,,,,,,,,type 2,0
ppl_324623,act2_2261358,2023-03-29,type 4,,,,,,,,,,type 228,1
ppl_105739,act2_3166620,2022-09-30,type 3,,,,,,,,,,type 23,0
ppl_3780,act2_3012378,2023-06-20,type 3,,,,,,,,,,type 61,1
ppl_94338,act2_388012,2023-08-26,type 3,,,,,,,,,,type 2,1
ppl_109377,act2_3678065,2022-12-02,type 5,,,,,,,,,,type 474,0
ppl_250953,act2_1849491,2023-03-26,type 3,,,,,,,,,,type 2,1
ppl_247523,act2_3652587,2022-09-24,type 2,,,,,,,,,,type 1,0
ppl_372923,act2_3849113,2022-12-26,type 2,,,,,,,,,,type 1,0
ppl_267898,act2_2305839,2023-04-06,type 2,,,,,,,,,,type 1,1
ppl_202952,act2_1357725,2022-12-17,type 2,,,,,,,,,,type 1,1
ppl_255276,act2_1707913,2023-06-22,type 3,,,,,,,,,,type 2,1
ppl_24338,act2_2072965,2023-06-24,type 3,,,,,,,,,,type 2,1
ppl_216803,act2_2357481,2022-10-01,type 2,,,,,,,,,,type 1,0
ppl_26778,act2_2356159,2022-08-12,type 2,,,,,,,,,,type 1,1
ppl_173014,act2_2416413,2022-10-01,type 2,,,,,,,,,,type 1,0
ppl_308592,act2_595184,2023-02-09,type 4,,,,,,,,,,type 765,0
ppl_107043,act2_2886116,2022-08-17,type 2,,,,,,,,,,type 1,1
ppl_335654,act2_3202977,2022-09-16,type 5,,,,,,,,,,type 1058,0
ppl_328184,act2_4254078,2022-08-20,type 2,,,,,,,,,,type 1,0
ppl_319483,act2_281365,2023-08-12,type 2,,,,,,,,,,type 1,1
ppl_239614,act2_3016801,2023-02-21,type 2,,,,,,,,,,type 1,1
ppl_186718,act2_547148,2023-06-27,type 3,,,,,,,,,,type 52,1
ppl_286246,act2_3709072,2022-11-05,type 5,,,,,,,,,,type 3577,1
ppl_325636,act2_4199935,2022-10-15,type 5,,,,,,,,,,type 433,1
ppl_370613,act2_4084890,2022-11-04,type 5,,,,,,,,,,type 450,0
ppl_79397,act2_2796351,2022-11-08,type 2,,,,,,,,,,type 1,1
ppl_99113,act2_174263,2023-07-22,type 2,,,,,,,,,,type 1,0
ppl_26438,act2_861583,2022-09-01,type 2,,,,,,,,,,type 1,0
ppl_146277,act2_2198787,2022-11-18,type 5,,,,,,,,,,type 585,0
ppl_145746,act2_456847,2022-08-23,type 2,,,,,,,,,,type 1,0
ppl_370270,act2_4694409,2022-10-22,type 3,,,,,,,,,,type 23,0
ppl_47428,act2_1189761,2022-10-16,type 5,,,,,,,,,,type 867,0
